anime_id,titulo,fecha_inicio,episodios,duracion,calificacion,popularidad,favoritos,formato_id,estado_id
211711,Boku no Hero Academia: I am a hero too,2026-08-03,1.0,6.0,76.0,16241,230,5,2
166444,Cheng Ye Xiao He,2026-08-03,16.0,,,542,9,3,4
214702,Fate/Grand Order: 11th Anniversary Movie -Cosmos in the Lostbelt-,2026-08-02,1.0,7.0,64.0,196,4,5,2
141953,Jiyi Guanli Ju (2026),2026-08-02,7.0,,78.0,10756,211,3,4
213908,Rusuban,2026-08-01,1.0,13.0,,250,2,1,2
212617,Inaka ni wa Kore Kurai Shika Goraku ga nai,2026-07-31,,16.0,64.0,572,26,4,4
212272,Deco x Deco THE ANIMATION,2026-07-31,,20.0,59.0,422,12,4,4
211338,Harem-tou e Youkoso!,2026-07-31,1.0,,,441,18,4,4
208829,Crayon Shin-chan: Kikikaikai! Ora no Youkai Vacation,2026-07-31,,,,457,7,1,2
215526,Taigu Shen Zun,2026-07-30,40.0,10.0,,28,1,3,4
214559,BooooM!!!,2026-07-30,1.0,3.0,64.0,280,7,2,2
211220,Li Xiongmao,2026-07-29,,,,1286,16,3,4
206273,Yi Zhan Cangqiong,2026-07-28,26.0,24.0,,259,5,3,4
185874,BLEACH: Sennen Kessen-hen - Kashin-tan,2026-07-25,10.0,,89.0,76464,2692,6,4
214426,Koutetsujou no Kabaneri: Mumei Ranman,2026-07-24,1.0,6.0,62.0,1480,17,5,2
202717,Chiikawa: Ningyo no Shima no Himitsu,2026-07-24,1.0,99.0,68.0,2277,43,1,2
199409,Yi Nian Yongheng 4,2026-07-22,46.0,,,580,25,3,4
206282,Wangu Zhizun: Li Yunxiao Zhuan,2026-07-20,,,,166,3,3,4
214070,Sazin no Nakade,2026-07-19,1.0,21.0,,340,3,1,2
214068,"Moshi, Korekara Umarerunonara",2026-07-19,1.0,20.0,,257,3,1,2
214067,20001-nen Chikyuu no Tabi,2026-07-19,1.0,20.0,,98,1,1,2
196223,Cyborg 009: Nemesis,2026-07-19,3.0,30.0,,914,9,3,2
