estudio,cantidad_anime,calificaciones_disponibles,calificacion_media,calificacion_mediana,calificacion_desviacion,calificacion_minima,calificacion_maxima,episodios_promedio,duracion_promedio,popularidad_promedio,popularidad_total,favoritos_promedio,favoritos_total
Actas,19,18,72.0,72.0,7.22,58.0,82.0,2.89,29.89,22795.11,433107,612.53,11638
Big Firebird Cultural Media,19,15,66.73,67.0,7.34,51.0,77.0,12.42,13.06,7443.47,141426,142.05,2699
Imageworks Studio,19,14,50.5,49.5,5.4,43.0,61.0,11.31,7.59,2553.68,48520,30.89,587
Motion Magic,18,14,73.14,74.0,7.86,59.0,83.0,30.28,21.69,1278.89,23020,68.61,1235
Satelight,18,18,65.5,67.5,8.6,47.0,77.0,13.39,30.0,25384.44,456920,503.28,9059
Science SARU,18,18,72.39,76.5,10.19,51.0,83.0,10.0,27.78,61897.39,1114153,2068.22,37228
Studio 9 Maiami,18,18,58.56,60.0,3.68,51.0,63.0,2.38,20.44,2127.72,38299,82.17,1479
Studio Pierrot,18,17,74.94,78.0,11.89,52.0,88.0,11.5,28.56,43210.61,777791,1563.28,28139
Studio Houkiboshi,18,18,59.11,58.0,4.76,49.0,68.0,8.61,6.78,5779.44,104030,157.56,2836
Brain's Base,18,17,65.59,65.0,10.86,47.0,82.0,18.94,26.71,44572.44,802304,1030.22,18544
Studio Colorido,18,18,68.44,70.0,8.53,53.0,84.0,4.0,33.5,27624.11,497234,630.39,11347
SAMG Animation,17,1,55.0,55.0,,55.0,55.0,20.35,19.69,76.12,1294,1.06,18
Lesprit,17,12,58.67,61.0,10.36,45.0,73.0,9.33,8.88,3338.24,56750,59.65,1014
Signal.MD,17,16,60.06,59.0,8.35,47.0,73.0,12.47,35.94,26092.88,443579,366.59,6232
Original Force,17,13,70.54,71.0,4.79,58.0,77.0,30.88,24.56,838.29,14251,35.65,606
Yumeta Company,16,15,66.6,65.0,8.43,51.0,80.0,8.81,29.62,19715.44,315447,375.69,6011
Asahi Production,16,16,63.56,62.5,8.95,47.0,82.0,10.19,30.81,32289.06,516625,652.12,10434
TRIGGER,16,15,71.73,71.0,7.9,60.0,85.0,7.53,35.47,59902.94,958447,3198.5,51176
Ajiado,16,14,69.21,72.5,10.56,50.0,81.0,10.88,38.31,41142.94,658287,985.06,15761
Studio Gokumi,16,16,65.31,65.5,7.41,53.0,81.0,9.81,28.75,35808.25,572932,691.44,11063
Shirogumi,16,14,60.0,61.0,8.64,48.0,79.0,6.12,39.38,2555.12,40882,32.94,527
Kachidoki Studio,16,4,48.75,47.0,6.45,43.0,58.0,28.69,10.12,324.5,5192,1.88,30
Laftel,16,5,63.0,62.0,6.0,56.0,72.0,8.0,6.53,850.19,13603,13.88,222
GEEKTOYS,16,15,64.27,65.0,11.44,44.0,76.0,9.56,19.5,43877.25,702036,801.25,12820
OTOIRO,16,16,62.31,60.0,8.36,53.0,83.0,2.27,3.25,960.75,15372,31.12,498
Maho Film,15,15,65.4,66.0,4.76,55.0,72.0,13.07,24.0,47865.73,717986,824.73,12371
FLAT STUDIO,15,15,61.87,60.0,6.44,55.0,78.0,1.0,5.2,4996.27,74944,125.13,1877
Graphinica,15,12,62.58,64.0,8.82,48.0,76.0,8.67,20.07,21492.4,322386,391.53,5873
Studio Gohan,15,15,56.6,56.0,3.5,52.0,64.0,1.2,5.27,390.13,5852,4.4,66
Yokohama Animation Lab,15,15,64.6,64.0,7.63,47.0,73.0,11.47,22.27,41649.6,624744,757.13,11357
feel.,15,15,68.13,68.0,7.21,58.0,82.0,8.6,39.93,45368.07,680521,1189.87,17848
Tezuka Productions,15,13,67.0,66.0,5.6,56.0,78.0,16.93,20.93,46015.2,690228,813.0,12195
B.CMAY PICTURES,15,14,74.0,77.5,10.6,53.0,86.0,21.27,19.36,12008.0,180120,518.4,7776
Seven Arcs,15,14,68.43,68.5,9.41,48.0,79.0,7.07,24.33,59702.93,895544,1539.87,23098
CygamesPictures,15,14,76.71,77.5,7.55,61.0,87.0,7.07,33.53,32694.0,490410,1173.13,17597
Pie in the sky,14,9,58.0,59.0,6.04,46.0,64.0,13.36,3.79,566.0,7924,4.36,61
Shogakukan Music & Digital Entertainment,14,6,55.83,52.0,11.44,47.0,78.0,20.67,15.15,3795.71,53140,84.57,1184
BYMENT,14,5,57.2,57.0,0.84,56.0,58.0,14.0,31.25,258.57,3620,7.07,99
Fatchi Moxie Studio,14,0,,,,,,12.29,6.43,47.64,667,0.29,4
Orange,14,14,68.71,70.0,8.92,47.0,78.0,7.36,28.43,44004.64,616065,1097.07,15359
Shengying Animation,14,8,62.0,62.0,6.16,55.0,72.0,21.43,18.69,1121.79,15705,23.14,324
Kamikaze Douga,14,13,64.46,63.0,6.33,53.0,74.0,4.64,25.71,7519.64,105275,91.29,1278
Haoliners Animation,14,13,66.69,63.0,10.02,54.0,84.0,12.14,15.93,19303.93,270255,656.5,9191
Felix Film,14,14,68.0,70.0,8.88,43.0,76.0,11.29,22.57,44020.21,616283,838.36,11737
Bibury Animation Studios,13,13,70.69,72.0,8.2,55.0,80.0,10.5,35.46,67149.31,872941,1847.54,24018
Okuruto Noboru,13,13,65.77,66.0,5.59,53.0,76.0,9.31,23.38,53593.77,696719,1027.08,13352
TOHO animation STUDIO,13,10,69.6,69.5,12.08,48.0,88.0,10.92,9.5,43951.92,571375,2899.77,37697
Painting Dream,13,1,70.0,70.0,,70.0,70.0,11.0,3.46,150.62,1958,2.31,30
Nippon Animation,13,9,59.78,62.0,9.96,47.0,74.0,14.54,12.31,5844.69,75981,74.69,971
Shenman Entertainment,13,9,72.67,75.0,5.32,66.0,79.0,27.5,27.8,1066.08,13859,58.69,763
ILCA,13,12,49.92,53.0,6.92,32.0,56.0,12.0,9.33,2252.31,29280,16.92,220
Drive,12,11,71.09,74.0,9.85,56.0,82.0,12.83,22.42,53069.75,636837,1097.75,13173
NAZ,12,11,65.45,69.0,7.92,50.0,77.0,10.75,23.17,32918.58,395023,563.33,6760
GARDEN,12,10,65.3,63.5,5.31,58.0,75.0,13.64,16.75,4095.92,49151,93.0,1116
Nomad,12,12,65.33,69.0,10.99,49.0,80.0,10.42,17.42,22195.33,266344,505.67,6068
Bridge,12,10,60.0,60.5,7.9,50.0,72.0,35.73,18.45,22125.25,265503,377.0,4524
Studio LAN,12,11,70.64,66.0,11.9,50.0,86.0,11.0,15.09,35066.33,420796,1779.33,21352
ufotable,12,11,76.45,81.0,9.95,59.0,86.0,4.17,45.91,196233.33,2354800,5710.58,68527
Qzil.la,11,9,63.44,65.0,6.29,53.0,71.0,6.82,6.9,4179.82,45978,71.27,784
Gift-o’-Animation,11,10,63.9,64.0,3.11,58.0,68.0,11.73,24.2,2098.45,23083,31.18,343
Lapin Track,11,11,72.91,74.0,9.39,53.0,83.0,9.64,40.64,35977.27,395750,1014.09,11155
studio MOTHER,11,11,69.45,71.0,7.61,52.0,79.0,13.0,32.18,49000.91,539010,1278.09,14059
NewGeneration,11,11,63.91,66.0,4.78,54.0,68.0,2.5,16.78,2490.55,27396,111.18,1223
Oriental Creative Color,11,7,63.29,64.0,4.72,56.0,68.0,13.91,20.5,416.82,4585,14.09,155
Nice Boat Animation,11,4,56.5,55.5,5.45,52.0,63.0,6.55,14.4,471.82,5190,7.45,82
Shion,11,11,60.82,62.0,4.35,51.0,68.0,2.25,21.1,1926.55,21192,74.36,818
Studio JEMI,11,10,63.9,64.0,3.11,58.0,68.0,11.73,24.2,2098.45,23083,31.18,343
Wawayu Animation,11,8,61.0,60.5,8.72,48.0,73.0,13.82,15.75,1283.09,14114,26.64,293
CONNECT,11,11,68.64,67.0,5.57,61.0,80.0,9.36,29.18,38866.18,427528,809.09,8900
TYPHOON GRAPHICS,11,11,63.91,63.0,5.8,52.0,74.0,10.82,19.36,26033.0,286363,474.73,5222
studio A-CAT,10,10,58.4,60.0,4.4,52.0,64.0,12.1,23.8,37307.9,373079,616.2,6162
Scooter Films,10,10,61.1,62.0,7.94,49.0,71.0,6.0,5.2,2302.2,23022,23.6,236
Passion Paint Animation,10,5,63.6,62.0,8.2,56.0,76.0,20.6,17.57,465.7,4657,19.0,190
Studio Bind,10,10,77.3,80.0,8.58,57.0,85.0,10.1,21.6,160355.4,1603554,6360.2,63602
C2C,10,9,71.22,74.0,9.52,53.0,82.0,14.89,24.33,89407.6,894076,2522.9,25229
Lay-duce,10,10,69.0,73.0,9.65,50.0,78.0,13.7,24.2,36893.4,368934,797.6,7976
diomedéa,10,10,67.8,73.0,10.55,48.0,76.0,11.5,22.2,42323.3,423233,874.1,8741
Studio Comet,10,9,62.89,65.0,6.21,53.0,71.0,14.8,25.6,20956.3,209563,328.1,3281
Sunrise Beyond,10,10,60.8,60.0,7.8,52.0,73.0,12.3,19.5,10946.8,109468,150.0,1500
Studio 4°C,10,8,63.25,66.0,10.25,44.0,77.0,4.4,47.11,5446.8,54468,74.1,741
