estudio,cantidad_anime,calificaciones_disponibles,calificacion_media,calificacion_mediana,calificacion_desviacion,calificacion_minima,calificacion_maxima,episodios_promedio,duracion_promedio,popularidad_promedio,popularidad_total,favoritos_promedio,favoritos_total
Studio Lings,5,5,71.4,74.0,6.91,64.0,78.0,5.6,28.2,17300.6,86503,360.6,1803
Elias,5,5,52.2,53.0,4.44,45.0,57.0,9.2,8.4,14573.4,72867,229.8,1149
Encourage Films,5,5,69.6,68.0,6.58,61.0,78.0,9.8,24.2,29003.6,145018,497.4,2487
Studio Massket,5,5,68.6,74.0,11.7,50.0,80.0,11.8,16.6,31412.0,157060,664.2,3321
M.S.C,5,5,59.8,63.0,7.4,50.0,67.0,8.2,35.6,3883.6,19418,49.4,247
Studio Tumble,5,4,67.5,65.5,7.85,61.0,78.0,2.2,4.75,2666.2,13331,49.2,246
Studio VOLN,5,5,68.2,71.0,9.31,58.0,79.0,16.8,24.0,29793.2,148966,399.2,1996
Sublimation,5,5,63.2,63.0,9.26,54.0,73.0,5.8,47.8,25004.0,125020,477.8,2389
Larx Entertainment,5,5,68.2,76.0,12.19,49.0,77.0,10.2,24.8,15184.6,75923,265.8,1329
TNK,5,5,58.6,58.0,7.02,51.0,68.0,9.8,23.6,48068.8,240344,968.6,4843
Atelier Pontdarc,5,5,69.0,71.0,6.2,62.0,76.0,8.8,16.6,58997.4,294987,1201.6,6008
BAKKEN RECORD,5,5,63.8,63.0,7.33,57.0,74.0,9.2,40.2,22669.4,113347,277.4,1387
Unity of Knowledge and Action Animation,5,4,58.0,58.5,3.16,54.0,61.0,15.0,12.25,1201.0,6005,16.4,82
Jumondou,5,5,65.0,64.0,5.15,58.0,71.0,11.6,24.0,36209.0,181045,690.0,3450
TriF studio,5,5,59.6,61.0,8.41,49.0,68.0,4.6,11.2,6369.6,31848,80.6,403
A.C.G.T.,5,5,66.2,67.0,2.77,62.0,69.0,19.2,24.0,39041.8,195209,668.6,3343
monofilmo,5,5,58.4,61.0,9.91,46.0,72.0,1.0,11.0,1067.0,5335,14.2,71
studio LEO,5,5,52.0,53.0,3.0,47.0,55.0,8.0,8.0,3677.6,18388,64.4,322
Garage Film,5,0,,,,,,13.0,3.0,25.8,129,1.0,5
10GAUGE,4,4,60.5,59.0,12.58,49.0,75.0,2.0,4.5,1231.0,4924,16.25,65
Gale,4,0,,,,,,18.5,14.5,132.75,531,0.75,3
Arect,4,2,54.5,54.5,7.78,49.0,60.0,2.75,37.75,1436.5,5746,11.25,45
mimoid,4,3,63.33,64.0,8.02,55.0,71.0,3.25,6.25,1442.5,5770,15.75,63
Akatsuki,4,4,55.75,54.0,6.45,50.0,65.0,4.25,15.5,25611.75,102447,272.75,1091
WAO World,4,3,70.67,69.0,2.89,69.0,74.0,9.25,46.25,64948.5,259794,1491.0,5964
KIKO,4,3,63.0,66.0,6.08,56.0,67.0,1.0,7.25,545.75,2183,11.0,44
Ascension,4,3,59.33,58.0,7.09,53.0,67.0,14.5,20.25,4330.0,17320,74.5,298
TRCARTOON,4,2,57.5,57.5,3.54,55.0,60.0,9.75,6.25,311.5,1246,3.75,15
Liberty Animation Studio,4,4,54.5,54.5,5.69,48.0,61.0,1.25,2.5,392.5,1570,2.5,10
TEATRO Nishi Tokyo Studio,4,4,55.25,55.0,2.06,53.0,58.0,1.0,27.25,1165.0,4660,45.5,182
Liber,4,4,74.0,72.5,7.16,67.0,84.0,12.0,24.0,58303.25,233213,1253.25,5013
LX Animation Studio,4,3,59.33,63.0,6.35,52.0,63.0,18.0,20.0,773.75,3095,23.5,94
Super Normal Studio,4,2,41.5,41.5,0.71,41.0,42.0,12.0,4.75,864.75,3459,5.75,23
Folium,4,4,65.75,67.5,6.08,57.0,71.0,2.0,3.0,939.5,3758,12.25,49
MAKING ANIMATION,4,0,,,,,,13.0,5.25,87.75,351,0.0,0
Blue Bread,4,4,61.5,62.5,5.57,54.0,67.0,2.0,19.75,1862.0,7448,76.75,307
Studio Silver,4,4,68.25,69.5,4.5,62.0,72.0,9.33,18.5,33828.5,135314,503.5,2014
MANAA ANIMATION,4,2,55.0,55.0,2.83,53.0,57.0,7.5,3.0,287.75,1151,3.25,13
Sunflowers,4,2,62.0,62.0,4.24,59.0,65.0,18.25,20.75,505.5,2022,8.75,35
Kung Fu Frog Animation,4,3,62.0,63.0,2.65,59.0,64.0,13.0,16.75,2646.25,10585,39.25,157
studio daisy,4,4,62.25,62.0,9.64,53.0,72.0,4.25,8.0,6528.5,26114,77.25,309
GONZO,4,3,66.0,68.0,4.36,61.0,69.0,12.5,19.75,9775.5,39102,118.0,472
Dancing CG Studio,4,0,,,,,,21.33,20.0,183.75,735,2.25,9
PIERROT FILMS,4,4,78.5,83.5,14.06,58.0,89.0,9.5,16.67,49797.0,199188,1770.0,7080
D.ROCK-ART,4,3,56.67,57.0,1.53,55.0,58.0,7.5,23.5,356.5,1426,9.0,36
Creators in Pack,4,3,61.33,62.0,1.15,60.0,62.0,8.75,3.5,3569.5,14278,24.25,97
CLOUDHEARTS,4,4,65.25,64.0,3.2,63.0,70.0,12.0,23.75,59012.0,236048,1047.25,4189
Nexus,4,4,74.75,75.5,7.97,66.0,82.0,13.75,24.0,172057.0,688228,6620.0,26480
Dynamo Pictures,4,4,51.25,48.5,6.55,47.0,61.0,3.25,48.75,1181.75,4727,10.5,42
Durufix,4,0,,,,,,21.25,14.75,387.75,1551,4.25,17
Studio BAZOOKA,4,0,,,,,,7.75,44.25,36.5,146,1.0,4
Children's Playground Entertainment,4,4,62.0,65.0,8.29,50.0,68.0,12.25,24.0,46030.25,184121,630.5,2522
Miyu Productions,4,1,70.0,70.0,,70.0,70.0,1.0,36.67,1926.5,7706,15.25,61
Mousou Senka,4,4,56.0,56.0,4.08,52.0,60.0,4.0,18.25,1508.5,6034,51.25,205
Studio Durian,4,4,69.5,68.5,13.77,55.0,86.0,1.0,17.0,32667.5,130670,2119.75,8479
Mirai Film,4,4,45.75,46.0,1.26,44.0,47.0,1.0,7.75,556.0,2224,2.25,9
Xuni Pictures,4,2,58.5,58.5,3.54,56.0,61.0,15.25,21.0,297.25,1189,7.25,29
Studio Palette,4,4,67.0,66.5,3.92,63.0,72.0,12.25,24.0,88334.5,353338,1805.0,7220
Piso Studio,4,0,,,,,,50.0,2.0,56.75,227,0.25,1
HORNETS,4,4,71.25,72.5,5.5,64.0,76.0,12.0,24.0,81585.0,326340,1876.5,7506
l-a-unch・BOX,4,4,45.25,46.0,10.37,32.0,57.0,7.5,12.0,6404.0,25616,39.0,156
REVOROOT,4,4,61.5,62.5,6.35,53.0,68.0,12.0,18.5,69641.75,278567,1146.5,4586
Ryuu M's,4,4,57.25,58.5,4.35,51.0,61.0,2.0,16.0,920.5,3682,35.75,143
Liyu Culture,3,2,64.5,64.5,16.26,53.0,76.0,12.67,20.33,4995.33,14986,94.67,284
Success,3,2,58.0,58.0,5.66,54.0,62.0,11.33,48.0,786.33,2359,11.33,34
TThunDer Animation,3,1,60.0,60.0,,60.0,60.0,22.67,9.0,280.67,842,4.33,13
Front Wing,3,3,49.0,48.0,2.65,47.0,52.0,12.0,12.0,859.0,2577,12.33,37
MORIE Inc.,3,3,65.33,67.0,6.66,58.0,71.0,1.0,4.67,1076.67,3230,13.67,41
StudioGOONEYS,3,2,61.0,61.0,14.14,51.0,71.0,3.33,10.0,2122.67,6368,23.33,70
Flint Sugar,3,3,71.33,75.0,9.07,61.0,78.0,3.0,10.5,6027.0,18081,110.67,332
LIDENFILMS Kyoto Studio,3,3,64.0,69.0,11.36,51.0,72.0,8.33,20.67,8454.67,25364,81.33,244
Block 12,3,0,,,,,,12.0,4.0,79.67,239,0.67,2
Imagineer,3,2,72.5,72.5,2.12,71.0,74.0,12.0,4.33,5141.0,15423,59.0,177
Vega Entertainment,3,3,62.67,62.0,3.06,60.0,66.0,8.33,24.0,37435.67,112307,526.33,1579
GAINAX Kyoto,3,3,54.67,55.0,6.51,48.0,61.0,1.0,4.33,409.67,1229,4.33,13
Fugaku,3,3,57.0,54.0,5.2,54.0,63.0,12.0,27.0,30283.0,90849,329.33,988
Joicy Studio,3,2,65.0,65.0,2.83,63.0,67.0,56.67,17.33,811.0,2433,33.33,100
Year Young Culture,3,2,63.0,63.0,5.66,59.0,67.0,18.67,17.0,483.33,1450,18.0,54
ROLL2,3,2,67.5,67.5,9.19,61.0,74.0,9.0,16.67,26908.0,80724,424.33,1273
ROCK'N ROLL MOUNTAIN,3,2,79.5,79.5,4.95,76.0,83.0,1.0,63.0,17459.67,52379,690.33,2071
Robot,3,2,62.5,62.5,23.33,46.0,79.0,2.67,53.33,2696.0,8088,61.33,184
maxilla,3,3,57.67,57.0,3.06,55.0,61.0,1.0,2.67,445.0,1335,4.67,14
Project Studio Q,3,3,62.67,64.0,7.09,55.0,69.0,3.67,8.0,2463.33,7390,20.33,61
Alpha Animation,3,0,,,,,,26.0,15.67,75.67,227,1.0,3
Saetta,3,3,57.0,62.0,8.66,47.0,62.0,12.0,4.0,7475.33,22426,47.33,142
Panda Tower Studio,3,2,63.0,63.0,4.24,60.0,66.0,15.33,8.33,1672.33,5017,34.0,102
STUDIO EIGHTCOLORS,3,3,56.67,56.0,2.08,55.0,59.0,20.33,4.0,1027.67,3083,9.0,27
CompTown,3,3,68.67,66.0,5.51,65.0,75.0,12.33,24.0,40965.0,122895,778.67,2336
Cyclone Graphics,3,2,57.0,57.0,12.73,48.0,66.0,8.33,11.33,8142.67,24428,105.0,315
Creative Power Entertaining,3,0,,,,,,40.33,42.0,21.33,64,0.67,2
Studio Outrigger,3,2,62.0,62.0,4.24,59.0,65.0,4.67,43.0,2784.0,8352,21.67,65
Green Monster Team,3,1,67.0,67.0,,67.0,67.0,12.0,8.33,4886.0,14658,91.0,273
Studio Goindol,3,0,,,,,,17.33,2.67,74.67,224,0.33,1
Buemon,3,2,56.0,56.0,1.41,55.0,57.0,4.33,11.67,1578.33,4735,14.67,44
Studio Chizu,3,2,67.0,67.0,8.49,61.0,73.0,1.0,78.67,27167.0,81501,709.33,2128
Studio Chromato,3,3,74.0,82.0,15.62,56.0,84.0,1.33,51.0,20574.67,61724,1393.0,4179
Boruntong,3,0,,,,,,17.33,12.0,184.0,552,1.67,5
Monster's Egg,3,2,61.0,61.0,1.41,60.0,62.0,8.0,23.67,692.0,2076,11.33,34
IKIF+,3,2,54.0,54.0,1.41,53.0,55.0,25.0,1.0,500.0,1500,7.67,23
GA-CREW,3,3,60.0,63.0,15.72,43.0,74.0,8.33,18.33,27456.33,82369,597.33,1792
AtoriE,3,1,68.0,68.0,,68.0,68.0,26.5,1.67,944.33,2833,9.33,28
Asura Film,3,2,43.0,43.0,1.41,42.0,44.0,1.0,11.67,221.67,665,0.0,0
Imagica Lab.,3,3,46.0,47.0,4.58,41.0,50.0,4.67,9.0,2139.0,6417,21.33,64
Tencent Penguin Pictures,3,1,80.0,80.0,,80.0,80.0,6.0,37.0,971.33,2914,25.0,75
LICO,3,3,72.33,74.0,4.73,67.0,76.0,4.67,36.33,2737.33,8212,71.33,214
Team Yamahitsuji,3,3,71.67,71.0,2.08,70.0,74.0,4.0,20.0,43114.33,129343,560.67,1682
Tsumupapa,3,0,,,,,,9.0,3.0,57.0,171,0.67,2
Tsumugi Akita Anime Lab,3,3,69.67,73.0,8.5,60.0,76.0,11.33,24.33,56789.33,170368,1275.33,3826
UWAN Pictures,3,3,53.67,55.0,2.31,51.0,55.0,4.33,5.0,9087.0,27261,137.0,411
UNEND,3,3,55.0,53.0,4.36,52.0,60.0,12.0,23.33,5536.0,16608,53.33,160
pH Studio,3,1,56.0,56.0,,56.0,56.0,2.67,22.33,181.67,545,1.0,3
7doc,3,0,,,,,,15.33,10.0,127.0,381,1.0,3
KONAMI animation,3,2,65.0,65.0,9.9,58.0,72.0,1.0,5.0,3529.0,10587,38.0,114
Yofox Culture,3,0,,,,,,20.67,12.33,250.33,751,2.67,8
717 Studio,3,0,,,,,,10.33,22.33,152.0,456,2.33,7
Transcendence Picture,3,1,49.0,49.0,,49.0,49.0,18.0,17.0,236.33,709,7.67,23
A-Real,3,2,57.5,57.5,10.61,50.0,65.0,8.33,17.33,8472.0,25416,166.0,498
Voil,3,3,69.67,69.0,3.06,67.0,73.0,12.67,24.0,14385.33,43156,232.33,697
Hoods Entertainment,3,3,51.67,51.0,2.08,50.0,54.0,8.33,29.67,15047.67,45143,171.67,515
Fancy Realize Media,3,3,47.67,48.0,1.53,46.0,49.0,1.0,20.67,1257.67,3773,27.33,82
yell,3,3,47.33,46.0,6.11,42.0,54.0,13.0,4.0,1876.33,5629,23.33,70
Acca effe,3,2,62.0,62.0,1.41,61.0,63.0,8.33,16.0,2412.67,7238,24.67,74
Noovo Inc.,3,1,59.0,59.0,,59.0,59.0,2.67,18.0,478.33,1435,2.67,8
Dou-Raku,3,2,54.5,54.5,2.12,53.0,56.0,13.0,3.0,414.0,1242,5.33,16
I.G Zwei,3,3,70.67,71.0,0.58,70.0,71.0,3.0,28.0,1707.33,5122,17.0,51
Contrail,3,2,64.0,64.0,2.83,62.0,66.0,1.0,4.0,375.0,1125,2.33,7
Delight Animation,3,1,57.0,57.0,,57.0,57.0,18.67,16.0,425.33,1276,4.67,14
P.I.C.S.,3,3,68.67,65.0,14.84,56.0,85.0,5.0,53.33,56650.33,169951,2422.33,7267
Shanghai Phantom Animation,3,3,67.33,69.0,4.73,62.0,71.0,10.0,3.0,6464.67,19394,138.67,416
OUTLINE,3,3,60.33,65.0,8.96,50.0,66.0,1.0,39.0,5200.33,15601,56.67,170
"Yamamura Animation, Inc.",3,2,56.5,56.5,7.78,51.0,62.0,1.0,27.0,788.0,2364,16.0,48
Iconix Entertainment,3,0,,,,,,20.67,11.33,33.67,101,0.0,0
EOTA,3,3,76.0,80.0,8.72,66.0,82.0,1.0,82.67,13272.33,39817,320.0,960
Mote Stop-Motion Animation,3,0,,,,,,1.67,17.0,111.33,334,0.67,2
Yi Chen Animation,3,0,,,,,,13.0,19.5,158.33,475,4.33,13
Helo,3,3,47.33,47.0,0.58,47.0,48.0,12.33,8.33,463.0,1389,2.33,7
Yien Animation,3,2,66.5,66.5,2.12,65.0,68.0,28.0,22.0,343.67,1031,19.33,58
Keyring,2,0,,,,,,6.5,46.0,28.5,57,0.0,0
Studio Ponoc,2,2,65.0,65.0,5.66,61.0,69.0,1.0,58.0,3656.0,7312,37.0,74
BUG FILMS,2,2,80.5,80.5,6.36,76.0,85.0,12.5,24.0,228735.5,457471,8317.0,16634
Bandai Namco Filmworks,2,2,67.0,67.0,16.97,55.0,79.0,1.0,4.5,1335.0,2670,17.0,34
MOE,2,2,64.5,64.5,6.36,60.0,69.0,6.5,59.5,11062.5,22125,106.0,212
MMT,2,0,,,,,,26.5,21.0,92.5,185,2.0,4
BloomZ,2,2,50.0,50.0,2.83,48.0,52.0,12.0,8.0,20293.0,40586,271.5,543
LOCUS Animation,2,0,,,,,,1.0,85.0,326.0,652,2.0,4
Fengyun Animation,2,1,50.0,50.0,,50.0,50.0,20.0,9.0,198.5,397,5.0,10
TECARAT,2,0,,,,,,1.0,3.5,50.0,100,0.0,0
Team OneOne,2,2,61.0,61.0,1.41,60.0,62.0,1.0,63.0,5203.0,10406,34.5,69
Tear-Studio,2,2,65.0,65.0,1.41,64.0,66.0,1.0,36.0,24928.5,49857,320.0,640
FUNNY MOVIE,2,0,,,,,,13.0,2.5,50.0,100,0.0,0
Type ZERO,2,0,,,,,,14.0,4.0,193.0,386,4.5,9
Toon Harbor Works,2,0,,,,,,8.5,17.0,197.0,394,0.5,1
Tomovies,2,0,,,,,,8.0,5.0,188.5,377,0.5,1
KIO STUDIO,2,0,,,,,,14.5,19.0,160.5,321,4.0,8
qmotri,2,1,60.0,60.0,,60.0,60.0,12.0,4.0,248.0,496,3.5,7
studio Stellation,2,1,69.0,69.0,,69.0,69.0,,1.0,1168.5,2337,22.0,44
Adnero,2,2,52.0,52.0,1.41,51.0,53.0,6.5,4.0,17673.0,35346,189.5,379
Aisi Animation Studio,2,0,,,,,,5.0,23.0,329.0,658,2.5,5
d00r works,2,2,61.0,61.0,14.14,51.0,71.0,1.0,3.0,740.0,1480,13.5,27
AlcedoAlcy,2,1,41.0,41.0,,41.0,41.0,6.5,4.0,1607.5,3215,4.5,9
GRIZZLY,2,2,70.0,70.0,1.41,69.0,71.0,1.0,54.5,8852.0,17704,198.0,396
GRAPH77,2,2,70.0,70.0,12.73,61.0,79.0,4.5,18.0,24499.5,48999,543.0,1086
bees inc.,2,2,66.5,66.5,3.54,64.0,69.0,1.0,2.0,1284.0,2568,24.5,49
ARCUS,2,2,57.5,57.5,4.95,54.0,61.0,1.0,2.0,435.0,870,4.0,8
5 Inc.,2,2,54.5,54.5,3.54,52.0,57.0,8.0,27.0,3405.5,6811,22.5,45
wonderium,2,2,70.0,70.0,1.41,69.0,71.0,1.0,2.0,806.0,1612,16.5,33
Giga Production,2,2,62.0,62.0,1.41,61.0,63.0,6.5,23.0,3407.5,6815,35.0,70
FLAGSHIP LINE,2,2,59.0,59.0,5.66,55.0,63.0,12.0,23.0,11358.0,22716,137.5,275
Kanaban Graphics,2,2,55.0,55.0,5.66,51.0,59.0,74.5,6.0,833.0,1666,20.0,40
Kenji Studio,2,1,63.0,63.0,,63.0,63.0,3.5,4.5,382.0,764,1.5,3
Taomee,2,0,,,,,,15.5,52.0,69.0,138,0.5,1
GEMBA,2,2,53.0,53.0,1.41,52.0,54.0,1.0,65.0,1501.5,3003,6.0,12
Fun Flux Entertainment,2,0,,,,,,26.0,12.0,29.5,59,0.0,0
Visual Persistence,2,0,,,,,,15.5,16.5,227.5,455,1.0,2
White Paper Animation,2,2,57.0,57.0,1.41,56.0,58.0,20.0,10.0,641.0,1282,10.5,21
Juumonji,2,1,44.0,44.0,,44.0,44.0,3.0,32.0,593.0,1186,0.5,1
Village Studio,2,2,64.0,64.0,11.31,56.0,72.0,1.0,1.5,4167.5,8335,49.0,98
Ishikawa Pro,2,0,,,,,,1.0,3.0,80.0,160,1.0,2
Zhongce Picture,2,0,,,,,,18.0,20.0,230.5,461,7.5,15
animation studio42,2,2,67.0,67.0,0.0,67.0,67.0,12.0,24.5,48711.5,97423,816.0,1632
Ijigen TOKYO,2,1,56.0,56.0,,56.0,56.0,1.5,4.0,646.0,1292,2.5,5
AIC,2,2,57.5,57.5,3.54,55.0,60.0,6.0,30.0,1511.0,3022,19.0,38
Hotline,2,2,56.5,56.5,3.54,54.0,59.0,12.0,24.0,58118.0,116236,845.5,1691
Hua Dream,2,1,51.0,51.0,,51.0,51.0,12.0,21.0,284.5,569,8.0,16
IDREAM Entertainment,2,2,61.0,61.0,0.0,61.0,61.0,16.0,20.0,512.0,1024,17.0,34
Echoes,2,1,56.0,56.0,,56.0,56.0,1.0,6.0,324.0,648,1.0,2
Samsara Studio,2,2,79.0,79.0,2.83,77.0,81.0,3.5,30.5,14904.0,29808,333.0,666
Sansan Studio,2,0,,,,,,10.0,3.0,51.5,103,0.0,0
Chongzhuo Animation,2,2,58.5,58.5,16.26,47.0,70.0,14.0,20.5,4229.0,8458,90.5,181
Coco Cartoon,2,2,76.5,76.5,9.19,70.0,83.0,1.0,127.5,4001.0,8002,139.5,279
Sheng Guang Qishi Tuan,2,1,55.0,55.0,,55.0,55.0,9.5,8.0,305.5,611,3.0,6
Collaboration Works petit,2,1,58.0,58.0,,58.0,58.0,1.5,17.0,1002.0,2004,31.5,63
Soigne,2,2,79.0,79.0,4.24,76.0,82.0,12.0,24.0,31088.0,62176,1155.0,2310
EKACHI EPILKA,2,2,47.5,47.5,2.12,46.0,49.0,12.0,3.5,10086.0,20172,75.5,151
CHOCOLATE,2,1,52.0,52.0,,52.0,52.0,1.0,3.0,173.5,347,1.0,2
Nyan Pollution-ω-,2,2,60.5,60.5,0.71,60.0,61.0,4.5,4.5,8831.0,17662,93.5,187
Ocon Studios,2,0,,,,,,25.5,11.0,44.5,89,0.0,0
Opera House,2,0,,,,,,12.0,4.0,256.5,513,1.0,2
Star Hunter Animation,2,0,,,,,,20.0,17.0,150.0,300,7.5,15
Charaction,2,1,47.0,47.0,,47.0,47.0,18.0,4.0,747.0,1494,5.0,10
Campfire Aniworks,2,0,,,,,,26.0,11.0,114.0,228,3.0,6
CUE,2,2,65.5,65.5,12.02,57.0,74.0,12.0,24.0,23927.0,47854,417.0,834
NICHICALINE,2,1,74.0,74.0,,74.0,74.0,7.0,24.0,4752.5,9505,68.0,136
Studio Animal,2,2,57.0,57.0,0.0,57.0,57.0,8.0,49.5,3073.5,6147,50.0,100
Doraku,2,1,48.0,48.0,,48.0,48.0,12.0,4.0,641.5,1283,9.0,18
NEWON,2,2,57.5,57.5,9.19,51.0,64.0,13.0,12.5,5711.5,11423,52.0,104
Djinn Power,2,2,64.5,64.5,16.26,53.0,76.0,14.5,20.0,4272.5,8545,251.5,503
Studio N,2,1,74.0,74.0,,74.0,74.0,1.0,97.0,1621.5,3243,30.0,60
Studio M2,2,2,69.5,69.5,20.51,55.0,84.0,4.5,42.5,52107.0,104214,1876.5,3753
HM Heros,2,0,,,,,,7.0,18.0,273.0,546,2.5,5
IMAGICA DIGITALSCAPE,2,2,54.0,54.0,12.73,45.0,63.0,11.0,6.0,1155.0,2310,9.0,18
INDIVISION,2,2,47.5,47.5,2.12,46.0,49.0,12.0,3.5,10086.0,20172,75.5,151
INTERFACEDOGS,2,2,60.5,60.5,2.12,59.0,62.0,1.0,4.5,457.5,915,4.5,9
YAMATOWORKS,2,1,56.0,56.0,,56.0,56.0,2.5,17.5,686.0,1372,4.5,9
NAS,2,2,61.5,61.5,2.12,60.0,63.0,12.0,24.0,3120.5,6241,25.0,50
Pancake,2,2,67.5,67.5,4.95,64.0,71.0,4.5,7.0,2958.0,5916,31.5,63
Daysview Animation,2,0,,,,,,12.5,56.5,138.0,276,2.0,4
DR Movie,2,2,61.0,61.0,5.66,57.0,65.0,10.5,26.5,123492.0,246984,1974.5,3949
Quebico,2,2,62.0,62.0,2.83,60.0,64.0,2.5,58.5,5320.0,10640,73.5,147
REGARO,2,1,63.0,63.0,,63.0,63.0,3.5,4.5,382.0,764,1.5,3
REIRS,2,2,54.5,54.5,7.78,49.0,60.0,3.0,59.5,3123.5,6247,24.0,48
STUDIO EEK,2,1,66.0,66.0,,66.0,66.0,6.5,63.0,15425.0,30850,204.0,408
STUDIO MORIKEN,2,2,59.0,59.0,5.66,55.0,63.0,33.5,1.0,555.0,1110,6.0,12
STUDIO POLON,2,2,64.0,64.0,7.07,59.0,69.0,12.0,23.5,30113.5,60227,452.0,904
STUDIO SOTA,2,1,52.0,52.0,,52.0,52.0,7.0,22.0,735.0,1470,8.0,16
Digital Network Animation,2,2,63.0,63.0,8.49,57.0,69.0,6.5,59.5,36691.5,73383,576.5,1153
Saber Works,2,2,69.0,69.0,18.38,56.0,82.0,12.0,24.0,36100.0,72200,580.5,1161
Pingo Entertainment,2,0,,,,,,12.0,1.0,84.5,169,0.0,0
Plott,2,0,,,,,,10.5,5.0,139.5,279,1.0,2
Planet Cartoon,2,2,72.5,72.5,2.12,71.0,74.0,12.0,4.0,7516.5,15033,87.0,174
Cypic,2,2,70.0,70.0,2.83,68.0,72.0,7.0,61.5,11519.5,23039,108.5,217
Creative House Pocket,2,0,,,,,,12.0,2.0,138.5,277,0.0,0
Cover Corp,2,2,64.0,64.0,1.41,63.0,65.0,33.0,3.0,1294.0,2588,16.0,32
Creadom8,2,0,,,,,,13.0,5.0,83.0,166,1.0,2
Hong Ying Animation,2,0,,,,,,1.0,43.0,47.0,94,0.5,1
Yasuda Genshou Studio by Xenotoon,2,1,60.0,60.0,,60.0,60.0,2.5,45.5,5412.0,10824,49.5,99
Alfred Imageworks,2,2,63.0,63.0,2.83,61.0,65.0,1.0,53.0,12151.5,24303,138.5,277
Yi Animation,2,1,63.0,63.0,,63.0,63.0,1.0,119.0,466.0,932,11.0,22
studioDOT,2,0,,,,,,1.0,17.5,312.5,625,2.0,4
Psyde Kick Studio,2,1,70.0,70.0,,70.0,70.0,1.0,68.5,6029.0,12058,54.0,108
Aquastar,2,1,63.0,63.0,,63.0,63.0,2.0,7.0,279.0,558,2.0,4
Anima&Co.,2,2,55.5,55.5,0.71,55.0,56.0,6.5,23.5,7734.0,15468,39.5,79
Rising Force,2,0,,,,,,12.0,4.5,131.5,263,0.0,0
Rouseact,2,2,60.0,60.0,4.24,57.0,63.0,4.0,1.0,739.0,1478,7.5,15
Poly Animation,2,1,47.0,47.0,,47.0,47.0,1.5,12.0,552.5,1105,22.0,44
SIGNIF,2,2,58.0,58.0,1.41,57.0,59.0,1.0,4.5,387.5,775,4.0,8
Heart & Soul Animation,2,2,68.0,68.0,0.0,68.0,68.0,8.5,22.5,3563.0,7126,56.0,112
Raiose,2,2,53.5,53.5,0.71,53.0,54.0,4.5,5.0,5691.0,11382,80.5,161
iQIYI,2,1,56.0,56.0,,56.0,56.0,44.0,8.0,282.5,565,8.0,16
entity,2,2,49.0,49.0,1.41,48.0,50.0,1.0,4.0,202.5,405,0.5,1
1IN,1,0,,,,,,6.0,13.0,113.0,113,0.0,0
A4works,1,1,59.0,59.0,,59.0,59.0,1.0,30.0,395.0,395,7.0,7
ALBACROW,1,1,57.0,57.0,,57.0,57.0,16.0,9.0,3912.0,3912,16.0,16
AMAKAWAANIMATION,1,0,,,,,,13.0,4.0,51.0,51,0.0,0
ANIMETRONICA,1,0,,,,,,4.0,3.0,32.0,32,1.0,1
soket,1,1,49.0,49.0,,49.0,49.0,96.0,1.0,428.0,428,6.0,6
studio maf,1,1,60.0,60.0,,60.0,60.0,24.0,3.0,3882.0,3882,46.0,46
studio keel,1,1,59.0,59.0,,59.0,59.0,1.0,2.0,276.0,276,5.0,5
studio hb,1,1,53.0,53.0,,53.0,53.0,1.0,13.0,1510.0,1510,7.0,7
Arc Anime,1,0,,,,,,1.0,27.0,132.0,132,0.0,0
Aqua Entertainment,1,1,51.0,51.0,,51.0,51.0,13.0,20.0,539.0,539,10.0,10
Anyzac,1,0,,,,,,13.0,11.0,80.0,80,1.0,1
Anime Tokyo,1,1,51.0,51.0,,51.0,51.0,1.0,31.0,1894.0,1894,17.0,17
AnimationID,1,1,59.0,59.0,,59.0,59.0,6.0,13.0,864.0,864,8.0,8
Amineworks,1,1,47.0,47.0,,47.0,47.0,1.0,64.0,704.0,704,3.0,3
Alke,1,1,55.0,55.0,,55.0,55.0,13.0,5.0,2320.0,2320,16.0,16
Honglu Technology,1,0,,,,,,26.0,,291.0,291,8.0,8
He Zhou Culture,1,1,57.0,57.0,,57.0,57.0,16.0,19.0,482.0,482,11.0,11
HS PICTURES,1,0,,,,,,1.0,119.0,456.0,456,3.0,3
HAPPYMAN♥,1,1,41.0,41.0,,41.0,41.0,5.0,5.0,272.0,272,0.0,0
Gudong Animation Studio,1,0,,,,,,1.0,89.0,448.0,448,4.0,4
Greenleaf Animation,1,1,62.0,62.0,,62.0,62.0,,1.0,1776.0,1776,40.0,40
Peak Hunt,1,1,56.0,56.0,,56.0,56.0,3.0,6.0,6124.0,6124,90.0,90
Pass Media,1,0,,,,,,1.0,86.0,44.0,44,0.0,0
Directions,1,0,,,,,,,,123.0,123,0.0,0
Dentsu,1,1,53.0,53.0,,53.0,53.0,3.0,,1219.0,1219,7.0,7
SUSPENDERS,1,1,50.0,50.0,,50.0,50.0,1.0,4.0,164.0,164,0.0,0
SUPER SUPER,1,1,66.0,66.0,,66.0,66.0,1.0,4.0,1081.0,1081,17.0,17
SUGARLESS FACTORY,1,0,,,,,,10.0,4.0,151.0,151,2.0,2
STUDIO PPURI,1,1,69.0,69.0,,69.0,69.0,,1.0,2288.0,2288,42.0,42
